StudentID,Major,Credits,GPA,Address.Street,Address.City,Address.State,Address.Zip,Address
1000001,SPA,44,3.27,2968 W St,Annville,PA,17003,"2968 W St, Annville, PA 17003"
1000002,BIO,75,3.02,5133 P St,Annville,PA,17003,"5133 P St, Annville, PA 17003"
1000003,BUS,58,3.12,5272 M St,Annville,PA,17003,"5272 M St, Annville, PA 17003"
1000004,PSY,58,3.22,5102 A St,Annville,PA,17003,"5102 A St, Annville, PA 17003"
1000005,BUS,46,2.14,6705 M St,Annville,PA,17003,"6705 M St, Annville, PA 17003"
1000006,PHY,73,3.48,3377 Q St,Annville,PA,17003,"3377 Q St, Annville, PA 17003"
1000007,REL,85,3.26,6230 D St,Annville,PA,17003,"6230 D St, Annville, PA 17003"
1000008,EDU,18,3.72,4082 H St,Annville,PA,17003,"4082 H St, Annville, PA 17003"
1000009,EDU,44,3.11,6953 Z St,Annville,PA,17003,"6953 Z St, Annville, PA 17003"
1000010,EDU,45,3.46,1563 F St,Annville,PA,17003,"1563 F St, Annville, PA 17003"
1000011,EDU,101,4.00,4701 T St,Annville,PA,17003,"4701 T St, Annville, PA 17003"
1000012,MAS,46,2.18,3271 F St,Annville,PA,17003,"3271 F St, Annville, PA 17003"
1000013,MSC,16,3.20,694 Q St,Annville,PA,17003,"694 Q St, Annville, PA 17003"
1000014,EDU,86,3.85,1101 R St,Annville,PA,17003,"1101 R St, Annville, PA 17003"
1000015,GMN,59,3.09,3761 Z St,Annville,PA,17003,"3761 Z St, Annville, PA 17003"
1000016,PSY,58,3.63,6799 T St,Annville,PA,17003,"6799 T St, Annville, PA 17003"
1000017,SPA,45,3.37,5003 P St,Annville,PA,17003,"5003 P St, Annville, PA 17003"
1000018,GMN,72,3.45,7612 Q St,Annville,PA,17003,"7612 Q St, Annville, PA 17003"
1000019,FRN,44,2.92,4133 Q St,Annville,PA,17003,"4133 Q St, Annville, PA 17003"
1000020,BUS,30,3.40,2884 Y St,Annville,PA,17003,"2884 Y St, Annville, PA 17003"
1000021,PSY,88,2.64,1675 K St,Annville,PA,17003,"1675 K St, Annville, PA 17003"
1000022,BIO,99,2.94,7935 D St,Annville,PA,17003,"7935 D St, Annville, PA 17003"
1000023,BIO,59,3.19,1594 U St,Annville,PA,17003,"1594 U St, Annville, PA 17003"
1000024,BUS,86,3.13,2918 T St,Annville,PA,17003,"2918 T St, Annville, PA 17003"
1000025,EDU,73,3.08,9591 R St,Annville,PA,17003,"9591 R St, Annville, PA 17003"
1000026,EDU,44,2.81,2849 S St,Annville,PA,17003,"2849 S St, Annville, PA 17003"
1000027,ASC,100,2.78,9816 E St,Annville,PA,17003,"9816 E St, Annville, PA 17003"
1000028,EDU,60,2.99,2902 A St,Annville,PA,17003,"2902 A St, Annville, PA 17003"
1000029,ECN,16,2.71,7859 D St,Annville,PA,17003,"7859 D St, Annville, PA 17003"
1000030,PHY,86,3.32,9284 M St,Annville,PA,17003,"9284 M St, Annville, PA 17003"
1000031,MAS,17,1.94,2022 Z St,Annville,PA,17003,"2022 Z St, Annville, PA 17003"
1000032,ASC,15,2.59,2793 N St,Annville,PA,17003,"2793 N St, Annville, PA 17003"
1000033,ASC,17,2.94,7823 J St,Annville,PA,17003,"7823 J St, Annville, PA 17003"
1000034,BIO,29,2.82,4800 X St,Annville,PA,17003,"4800 X St, Annville, PA 17003"
1000035,EDU,101,3.93,5182 J St,Annville,PA,17003,"5182 J St, Annville, PA 17003"
1000036,PSY,87,2.57,3631 Q St,Annville,PA,17003,"3631 Q St, Annville, PA 17003"
1000037,BIO,86,2.43,5685 T St,Annville,PA,17003,"5685 T St, Annville, PA 17003"
1000038,ECN,31,2.95,3173 V St,Annville,PA,17003,"3173 V St, Annville, PA 17003"
1000039,GLB,16,4.00,2233 N St,Annville,PA,17003,"2233 N St, Annville, PA 17003"
1000040,REL,73,3.90,5479 X St,Annville,PA,17003,"5479 X St, Annville, PA 17003"
1000041,PSY,18,3.27,6778 H St,Annville,PA,17003,"6778 H St, Annville, PA 17003"
1000042,EDU,45,3.46,2459 Q St,Annville,PA,17003,"2459 Q St, Annville, PA 17003"
1000043,EDU,59,3.71,326 G St,Annville,PA,17003,"326 G St, Annville, PA 17003"
1000044,EDU,18,3.22,1095 Y St,Annville,PA,17003,"1095 Y St, Annville, PA 17003"
1000045,MSC,58,3.74,5903 O St,Annville,PA,17003,"5903 O St, Annville, PA 17003"
1000046,PSY,86,2.84,3872 G St,Annville,PA,17003,"3872 G St, Annville, PA 17003"
1000047,ASC,59,2.79,1929 L St,Annville,PA,17003,"1929 L St, Annville, PA 17003"
1000048,EDU,44,3.36,5898 Q St,Annville,PA,17003,"5898 Q St, Annville, PA 17003"
1000049,ASC,99,3.37,6273 Q St,Annville,PA,17003,"6273 Q St, Annville, PA 17003"
1000050,SPA,29,3.67,6913 D St,Annville,PA,17003,"6913 D St, Annville, PA 17003"
1000051,EDU,43,3.37,4502 Q St,Annville,PA,17003,"4502 Q St, Annville, PA 17003"
1000052,EDU,86,2.90,3379 K St,Annville,PA,17003,"3379 K St, Annville, PA 17003"
1000053,SPA,31,3.37,1701 Y St,Annville,PA,17003,"1701 Y St, Annville, PA 17003"
1000054,EDU,71,3.97,6704 T St,Annville,PA,17003,"6704 T St, Annville, PA 17003"
1000055,ACT,57,3.10,3782 D St,Annville,PA,17003,"3782 D St, Annville, PA 17003"
1000056,ACT,15,3.45,2152 F St,Annville,PA,17003,"2152 F St, Annville, PA 17003"
1000057,EDU,59,3.66,4896 L St,Annville,PA,17003,"4896 L St, Annville, PA 17003"
1000058,SPA,101,3.44,6771 H St,Annville,PA,17003,"6771 H St, Annville, PA 17003"
1000059,MSC,42,4.00,1507 A St,Annville,PA,17003,"1507 A St, Annville, PA 17003"
1000060,PSY,100,2.71,2932 N St,Annville,PA,17003,"2932 N St, Annville, PA 17003"
1000061,PSY,73,3.18,2485 Y St,Annville,PA,17003,"2485 Y St, Annville, PA 17003"
